"","2-chlorodeoxyadenosine","2-chlorodeoxyadenosine&Valproic acid","5-Azacytidine","Acalabrutinib","Acalabrutinib&AZD6738","Acalabrutinib&BGB-10188","Acalabrutinib&Buparlisib","Acalabrutinib&Compound 7n","Acalabrutinib&Copanlisib","Acalabrutinib&Duvelisib","Acalabrutinib&Idelalisib","Acalabrutinib&Nemiralisib","Acalabrutinib&Pictilisib","Acalabrutinib&Pilaralisib","Acalabrutinib&Quizartinib","Acalabrutinib&Sonrotoclax","Acalabrutinib&Umbralisib","Acalabrutinib&Venetoclax","Acalabrutinib&ZSTK474","Alectinib","Alisertib","Alisertib&Crizotinib","Allopurinol","Avadomide","AZD6738","Bendamustine","BGB-10188","BGB-10188&Ibrutinib","BGB-10188&Sonrotoclax","BGB-10188&Venetoclax","BGB-10188&Zanubrutinib","Binimetinib","Binimetinib&Venetoclax","Bortezomib","Brigatinib","Buparlisib","Buparlisib&Ibrutinib","Buparlisib&Venetoclax","Busulfan","Cabozantinib","Cabozantinib&Ruxolitinib","CBL0137","Cerdulatinib","Ceritinib","Chlorambucil","Chlorambucil&Ibrutinib","Chlorambucil&Lenalidomide","Cobimetinib","Cobimetinib&Venetoclax","Compound 7n","Compound 7n&Ibrutinib","Compound 7n&Venetoclax","Copanlisib","Copanlisib&Ibrutinib","Copanlisib&Venetoclax","Copanlisib&Zanubrutinib","Crizotinib","Cyclosporine","Cytarabine","Cytarabine&Nutlin 3a","Dasatinib","Dasatinib&Venetoclax","Dexamethasone","Dexamethasone&Lenalidomide","Dimethyl fumarate","Doramapimod","Doramapimod&Palbociclib","Doxorubicin","Duvelisib","Duvelisib&Ibrutinib","Duvelisib&Venetoclax","Duvelisib&Zanubrutinib","Eltrombopag","Ensartinib","Entospletinib","Entrectinib","Etodolac","Etoposide","Everolimus","Flavopiridol","Fludarabine","Fludarabine&Ibrutinib","Ibrutinib","Ibrutinib&Idelalisib","Ibrutinib&Nemiralisib","Ibrutinib&Pictilisib","Ibrutinib&Pilaralisib","Ibrutinib&Quizartinib","Ibrutinib&Selinexor","Ibrutinib&SNX-5422","Ibrutinib&Umbralisib","Ibrutinib&Venetoclax","Ibrutinib&ZSTK474","Idelalisib","Idelalisib&JQ1","Idelalisib&Quizartinib","Idelalisib&Ruxolitinib","Idelalisib&Trametinib","Idelalisib&Venetoclax","Idelalisib&Zanubrutinib","Imiquimod","Ixazomib","JQ1","JQ1&Palbociclib","JQ1&Ruxolitinib","JQ1&Sorafenib","Karonudib","Lenalidomide","Lenalidomide&Methylprednisolone","Lorlatinib","Melphalan","Metformin","Methotrexate","Methylprednisolone","Mycophenolate mofetil","Navitoclax","Nemiralisib","Nemiralisib&Venetoclax","Niclosamide","Nutlin 3a","Obatoclax","Palbociclib","Palbociclib&Quizartinib","Palbociclib&Ruxolitinib","Palbociclib&Sorafenib","Palbociclib&Trametinib","Palbociclib&Venetoclax","Panobinostat","Panobinostat&Ruxolitinib","PD0325901","PD0325901&Venetoclax","Pictilisib","Pictilisib&Venetoclax","Pilaralisib","Pilaralisib&Venetoclax","Pimasertib","Pimasertib&Venetoclax","Pralatrexate","Prednisone","Pyrimethamine","Quizartinib","Refametinib","Refametinib&Venetoclax","Romidepsin","Ruxolitinib","Ruxolitinib&Venetoclax","S63845","Selinexor","Selumetinib","Selumetinib&Venetoclax","Simvastatin","SNX-5422","Sodium Salicylate","Sonrotoclax","Sonrotoclax&Copanlisib","Sonrotoclax&Duvelisib","Sonrotoclax&Ibrutinib","Sonrotoclax&Idelalisib","Sonrotoclax&Zanubrutinib","Sorafenib","Sorafenib&Venetoclax","Tacrolimus","TAK-659","Thalidomide","Tirabrutinib","Trametinib","Trametinib&Venetoclax","U0126","U0126&Venetoclax","Umbralisib","Umbralisib&Venetoclax","Valproic acid","Vandetanib","Vandetanib&Vemurafenib","Vemurafenib","Venetoclax","Venetoclax&Zanubrutinib","Venetoclax&ZSTK474","Vincristine","WP1066","Zanubrutinib","ZSTK474"
"001",6.51644566,1.71818108,18.43722486,27.32884625,21.31656721,11.19161017,15.75850297,5.76352613,41.04826021,16.27309515,11.87268803,9.10168775,17.79142206,0.25411483,21.20881179,32.63522429,0,24.6550729,21.86619849,16.76708665,0,2.74018343,18.4320153,19.13053234,18.41586221,19.79119523,14.52949084,0,25.94705813,6.41846884,0,16.87397782,27.26303928,45.22799377,27.85600782,34.49342082,19.57624086,23.23309176,19.05606942,28.50425378,7.5521657,47.86879718,30.29281752,26.57917192,12.05824013,0,0,24.03467059,20.7930127,20.49407962,4.80035707,7.47084312,50.78733358,30.69837354,37.09704876,25.66668627,33.43078502,39.50882509,35.74102211,11.73286405,34.23617346,12.07192539,0,0,0,9.95467406,0.70411526,0,34.57203354,4.25176764,0,8.38078736,0,23.22523122,29.45141063,39.08361624,0,0,36.00220796,53.81345974,37.13445628,31.13429271,0,17.0881337,23.52155877,26.30300565,0,8.35139843,30.62323917,39.04173663,0,29.04596012,21.95606123,0,16.18734541,20.58469692,5.26264405,29.64657114,31.60210819,18.52885699,0,47.4170162,20.25002838,19.03157389,28.76562414,23.94581385,0.19497062,0,20.12763468,0,4.61609306,0,0,0,17.72203857,19.96397582,2.34198883,6.58556047,15.32412576,10.48529181,51.12959409,0,11.5603329,0,11.60270076,14.04434702,15.34271931,43.33206083,41.99730757,23.58873441,31.27243213,22.36451655,44.03788856,4.54935782,22.45124978,13.0215289,35.67209434,0,4.44796396,0,12.24834907,8.46951189,33.08099981,48.58888489,0,12.50212285,0,18.63852077,13.11280239,22.63788273,10.03140759,36.34764579,3.98635035,36.06124726,41.328396,25.50775848,27.15065042,29.50195536,0,5.77063972,19.09293047,0,2.86467845,0,3.19408393,10.98293359,29.90247282,3.49604041,16.89710716,0,0,0,13.69191561,14.84290103,0,6.43151825,15.91363165,17.51158651,15.35604302,15.61587998,0,17.7667168
"002",19.20713514,22.1884059,11.75082623,17.05057083,20.38597725,17.62341906,26.81939711,0,33.31424998,17.89753046,14.90635874,8.97139629,15.64403256,10.91888174,14.77783475,46.67385099,6.84681289,38.15366317,23.07158466,15.69893056,13.191015,5.52320496,9.89900541,6.86571881,15.07228042,0,0,16.2520751,57.11017745,39.96619754,16.59648272,23.631894,40.7257124,83.83052533,0,30.92394762,22.82062255,41.65174354,9.12296681,10.77002508,10.56802003,50.70533292,25.17358217,21.74588935,18.45239533,17.9426025,0,27.58091898,51.06579196,17.71013729,9.51029265,34.59948872,37.8479026,42.80503002,57.83166501,33.25941548,18.71309027,19.70952357,21.65798504,17.70494525,25.60626256,42.13031542,41.97617243,17.53094034,0,0,3.11532053,40.1982539,34.401803,29.85364422,50.09202913,37.2754432,19.22097177,14.75289991,23.36579494,29.98321369,17.59066481,13.87794266,0,47.95036599,31.1268167,28.33929589,33.86979862,0,25.33233622,33.34701364,26.98447645,16.77652971,40.6360758,49.51644089,15.64371239,39.91506512,35.14348585,31.79499199,30.16104988,18.78719913,18.91295344,38.28273551,43.05654612,20.52548059,26.46038812,71.57400295,20.85952359,22.59819072,24.01322474,22.0467799,2.82515783,0,8.49644467,3.81973783,8.82188569,0,11.37043492,21.64007128,8.34337151,35.2973513,10.94577142,43.89968193,13.30414477,9.17010672,38.78080243,2.19392412,4.18045127,4.13884998,0,22.77102736,31.30956498,57.81169707,67.55804114,18.00223085,54.83722602,14.39470663,51.20457647,8.77371011,35.29100876,11.58241711,37.36650026,16.75980689,0.76888381,0.59951072,6.63432763,6.24088411,49.11611399,69.65425739,0,27.90988481,0,24.47059145,10.09884566,46.99976022,10.43291441,41.21839711,5.22347896,49.56290964,58.62457093,55.10836544,45.90771249,46.49342389,0,2.43548771,37.91753697,4.3795879,6.63087437,0,1.9213076,19.88387113,58.89519049,2.97612323,40.88332122,3.86786436,39.98048293,0,12.95974475,12.23172773,1.92788989,26.89232725,45.66791177,57.16540733,36.36307898,26.86577201,16.39178251,33.49931414
"003",14.8738123,14.87299368,30.58077642,0,21.20032636,13.48868693,17.31001714,11.99480528,31.78089856,13.3154521,6.16383898,5.78172769,12.97353237,1.46208936,28.70918519,28.44088907,0,23.3958685,23.36556487,0,0,3.63241307,17.76339651,19.11195202,16.98179089,7.17707338,9.52061097,0,37.76828151,18.06451555,0,24.71394886,36.65822686,85.91551584,22.53169437,27.25440977,12.6470585,37.78451913,0,26.25729976,14.25109878,53.9603505,20.92287837,19.26724304,0,8.50140732,0,26.0557237,40.69990084,20.50507736,7.23076285,14.18648922,45.98779937,37.97466061,49.0055167,35.78467752,20.53251033,15.08994675,23.77988758,18.68697896,26.89773592,31.90737804,0,10.77284851,9.51886144,14.82886458,0,33.36850296,23.32394632,14.16561924,40.72174078,14.3399434,19.4124114,15.75286021,11.10469524,16.41661091,15.14678699,0,36.29107091,41.63935788,23.19808263,11.75916726,19.91003179,15.80949472,15.21132412,27.29504387,8.30347031,23.25645818,34.25994062,52.73058346,2.75094425,20.03707423,21.08960561,27.78751624,23.36663165,22.3864637,7.68560234,18.54144709,25.74089167,10.45092351,0,67.13602073,32.39648833,26.2443692,20.15241344,25.69998,5.77954721,0,7.54411428,1.53113914,0.39827429,0,21.61950327,10.02256376,11.36747815,30.87540206,15.5108235,21.87157194,6.13687451,3.75020325,48.12064211,5.5415565,16.62225343,0,4.82413597,23.45643391,17.39889079,69.11508679,66.70524056,20.90443987,47.91620964,23.48272127,40.60400872,0,32.52737881,17.31870129,33.01336789,32.7431261,0.05254628,5.56194493,16.35323044,22.00840363,31.64369111,68.34306691,0,23.63995965,0.733304,26.88877123,9.78480345,29.49309188,23.61565139,48.12442572,3.13633584,40.14619423,51.59907682,39.86326634,26.67346224,31.65169534,31.10463524,10.67513538,20.97354052,8.43627016,9.8651242,0,4.64639591,20.56372842,43.73453836,5.88287829,26.56893476,0,23.3675968,0,21.26537777,19.29866008,9.29033289,0,33.81593447,44.95457262,21.85536189,20.28868322,14.87373627,35.20217396
"004",9.25263096,9.67761988,8.80601542,0,14.21272113,17.66639265,14.10807996,6.69351066,32.03604208,10.53764419,5.74692483,14.32944985,7.98348068,6.2042272,13.01646802,64.80221,5.51475276,57.94775127,20.29935482,11.05307821,0,9.26964463,0,0,10.74321015,0,14.93418625,5.43490487,65.24096002,46.10648523,9.38948139,9.35169742,58.65513154,90.62275122,11.42578067,17.00613931,14.50811019,62.17815461,5.2030281,0,5.22506423,35.40978442,12.15283019,20.96578991,8.70707497,8.11189972,0,21.19651692,63.98890716,0,2.21557423,54.32298164,34.07398916,25.69549423,69.4616562,21.88264299,8.46661425,14.87835014,3.35967658,12.07753295,10.7176624,50.15236741,29.61677469,24.77302789,0,0,0,24.27076008,15.66970896,13.63119254,59.06180783,17.80403565,10.97199021,9.45815802,13.0696763,18.32257661,2.45568138,0,17.17268062,46.12675105,5.2924418,7.46569962,15.67567247,19.25336958,9.53661749,19.99976029,13.1913777,13.78670252,25.68920918,38.13180655,7.62905106,57.45127113,22.10141937,12.11663578,16.48424095,10.46866024,6.85695332,17.25572867,52.5026885,15.01440141,0,65.77813953,5.18939448,13.07263434,12.89053927,15.30138773,3.20820194,0,36.4279125,4.85086753,7.15467468,0,8.72329052,30.63568216,1.76283819,42.52732587,3.08172325,54.61480587,9.87375042,7.22575169,32.61366892,0.74332665,12.24003838,0.00153433,2.95527788,11.33490111,53.55820615,61.16988586,64.9917556,10.88497239,66.52867518,14.18408503,59.80178272,4.30684153,41.6055046,7.30384003,64.73684134,8.25529212,2.90373461,1.77098548,1.84270311,11.28432366,56.50947762,72.61507311,0,47.27112413,0,21.74754728,4.57476112,61.59902566,11.57283076,35.50762366,9.37429656,66.13686043,77.33838523,59.45542424,60.20035368,75.36721607,69.77224349,6.29976356,51.86363505,0,1.05546218,0,0,10.66411334,69.46831867,0.92975141,58.01635429,1.47290417,48.11116477,0.90379028,14.0986668,12.30619115,1.07580587,47.50676458,59.41708801,65.92557993,27.2470612,4.65007678,9.6747469,22.7213072
"006",18.41266319,16.54793448,4.79460128,33.98531014,39.14151868,39.96796046,40.51510215,37.46015402,51.19126281,47.53681601,43.29709053,46.18614186,40.97906941,32.15457381,32.57882002,78.94050009,37.85939236,58.62846186,53.10130344,4.62697238,7.54277834,18.25970788,0,5.58401963,9.38710338,0,26.22895917,43.48403986,79.19115163,55.00929915,41.25540834,12.81293133,52.49985722,66.6504471,3.89586527,27.65551019,41.89703559,52.2307827,0,7.87674738,10.21044231,39.86525344,27.41901638,17.86033656,6.22961813,38.44854315,0.42202506,19.76785044,56.81177062,13.40449221,39.24557866,48.22823301,47.65639634,53.45704823,63.06498169,51.32744069,14.17952938,17.0154249,20.72111527,19.91242692,31.11030761,52.8672047,27.96778669,19.30870073,1.9545168,9.61493448,20.90164352,44.36050179,36.17069555,0,62.50766558,47.63607307,4.49470656,4.74998326,24.18254144,20.50821258,0.6873209,4.50491625,27.38173463,44.19693082,25.40562167,58.45694712,38.96467138,65.08137326,65.21688129,62.30379017,59.06283099,53.31047295,62.21163444,70.59197169,54.70207526,73.41966925,63.05490433,31.2402192,56.87898335,44.23890271,45.55112058,57.15713126,65.17244759,55.4871039,2.41985304,47.28034999,22.75892661,32.93454102,19.36154123,16.86357787,7.47810684,0,14.54384896,6.07920304,14.91576371,0.0801418,2.35694661,24.24458009,3.49740924,39.46472863,31.83047878,68.66124185,18.59526209,8.26222929,18.11148724,9.32187091,27.81145779,17.09284239,15.19065296,19.95470483,39.65525754,57.42370015,58.53179051,14.26199246,50.25058393,31.06023302,51.26589591,13.45625613,40.6567817,13.88336591,44.7482406,0,5.48915617,0,2.79068398,16.96300718,44.78738536,75.27879399,0.30999045,36.71635211,0,26.11149448,11.41446444,47.42479027,8.64007568,40.77818582,4.07004298,72.16428248,82.00095564,81.36408926,83.42909378,73.02369444,83.94659971,2.64708721,36.40248409,0,25.28630431,0,24.58220609,21.28041691,46.00688255,8.14939388,40.16890865,10.44193939,40.26533195,0,21.41215978,19.79035186,0.75747655,44.60698484,53.81042368,50.60879727,41.30507139,15.62028111,39.95113949,44.35182116
"007",19.9501592,14.70687792,0.0689803,0,26.86137417,13.05742127,21.91714804,8.86332756,28.04513642,9.88152466,9.13698747,16.9807152,14.64838911,7.65093497,22.36055127,32.99010978,6.45572485,28.76541708,19.06663131,4.78279948,0,7.0629558,0.74753022,0,11.87643689,0,0,7.06329779,32.07030183,32.50232246,10.45467058,4.75491593,33.8063941,81.86702047,0.62304063,16.49013899,14.25600543,39.29089731,0,6.45184963,6.86031534,37.21097656,9.07854943,10.84888918,0,1.44989908,0,15.95443435,43.81729761,3.04602757,8.54859657,30.79599613,29.46014757,33.62081684,54.83280082,37.18388107,7.45047671,2.62952988,2.13821941,7.30010828,10.10326614,30.54721328,26.12751189,28.42134906,0,6.39441141,1.44665307,19.10609147,3.16605321,9.8407034,38.99456541,19.04294893,7.55405017,8.6109225,3.94776993,17.87242594,0.9874927,0,23.85614624,44.56320166,1.13781315,8.12605706,1.88455532,9.54559891,21.50659918,20.63323979,8.61781649,20.81592541,30.38673022,48.2918717,2.95416546,30.64346552,21.70683216,17.24354152,27.32772505,20.59335385,0,26.93123712,29.79312832,9.23786196,1.98012623,57.4622294,20.04408682,16.23471465,15.38755231,15.26275005,4.12695266,0,26.94944129,6.96712669,4.88053912,0,16.84374174,28.16333272,11.58806282,37.5556239,0,32.98310611,10.17466044,7.9460714,28.44798175,3.36554211,21.48957788,2.10685166,4.95680394,20.21300512,27.71620828,61.58069795,67.85950277,19.29851196,41.38509912,15.01599763,36.86788627,6.67556351,27.83305713,14.97146781,45.79246161,22.59563245,6.68817228,4.21750786,14.32056205,20.89062374,34.5738642,77.20911066,0,21.81813561,6.08186434,23.58819458,9.41727567,36.85501337,18.8029493,45.39636486,5.3310872,33.55522088,55.51618247,40.3306016,34.26459928,33.16376413,37.01353185,4.39027378,30.54906448,0,1.76514066,0,11.35467406,30.45604506,49.00313662,9.17657442,38.31080971,0,35.54731865,0.00814642,22.31648766,15.6892942,6.12315707,25.23084749,31.19384232,46.16849225,25.38767906,22.80662144,13.58061598,24.60960791
"008",6.2260074,17.82530382,6.81988906,0,20.6992961,0,23.11982568,13.75075823,17.65590039,12.85557675,3.87142315,3.70660966,5.82548398,0.38381112,8.0276848,76.53939978,1.89829614,44.38390705,22.18740321,4.79436628,5.58506746,10.75946782,0,14.38819541,3.69959341,0.19374483,0,0.35653367,59.1975809,39.28946726,0,9.3844512,46.8418656,89.94401225,6.47265099,24.32375619,25.5566907,59.5811887,3.8316577,2.7536141,10.4369422,34.30149829,14.51324079,11.25690101,5.71115094,18.18225631,0,19.6047339,59.5642889,7.74585727,0,52.75955947,20.15199992,30.31078297,62.77252464,0,2.06667111,2.74956225,6.48135558,10.10299827,16.26116348,63.62849931,31.64549945,48.51592828,9.87075335,0,16.01903342,33.59748848,15.06167199,26.63253483,63.95715199,37.18003824,5.64697469,2.54321046,11.45256254,13.46424232,4.38286723,0,18.18448591,31.62227548,10.4694756,28.24538047,21.18268172,18.11386219,13.41609686,20.07782091,13.4966402,8.68297217,26.71873294,37.4792371,7.73018508,43.67769728,25.04383258,19.59937946,17.89067709,6.11236479,6.90482459,27.63534223,56.14861658,17.81589543,10.12380852,66.87657457,18.01031464,16.40596613,9.21997611,7.0578196,1.69251778,0,28.42904042,0,7.81850032,0,3.66368793,31.64320181,3.65748091,45.60798419,11.31002534,51.53371562,4.69408376,0.0445481,22.41282354,1.70791321,8.47773685,1.4798427,6.2010911,21.94658914,36.63426933,64.32105897,61.62320031,10.20167269,62.41614682,13.18454964,62.22048297,8.22579438,53.73223759,10.27664872,58.58269849,1.76597182,1.95868367,0,0.61102213,0,59.57732944,86.10771426,0,47.51214353,1.40448488,22.92273932,6.6412927,57.83292326,8.82893781,29.46415946,3.72595642,67.48320326,59.2672399,66.12658839,53.3410719,61.71396965,60.82589134,0.25561943,50.27998788,3.06348396,1.20126537,0,0.37994912,17.72343414,66.68381907,0,51.3092148,0,49.30216964,0,9.27564812,8.90884735,0,43.69979635,51.04624416,62.78596788,34.37472101,5.08258069,16.71201832,29.46832008
"009",24.55303101,37.96496205,3.77224083,0,16.63619405,0,28.7168673,0.94032354,31.09333298,14.51026704,14.28138646,15.03103401,11.66849848,5.09458144,19.5410369,57.47280761,6.52332938,35.69174428,24.15836613,2.44249218,0,7.99062307,0,0,5.36611445,0,1.88271646,21.65404994,52.91241874,44.77379878,1.0141908,0.94922843,46.24074146,83.61761168,1.4073837,15.25407457,23.5740283,44.94188053,0,4.23225629,2.83881891,42.3644346,11.92069869,15.41806554,0,15.024313,0,11.06126984,58.91394965,0,10.10989661,38.19457626,33.73016542,35.55553655,55.46926045,27.57299935,16.9067619,7.0929001,6.40942475,18.85782643,5.56454591,51.46859868,25.54623565,26.4516559,1.8529466,0,2.23545058,20.39089469,8.6524361,15.49455018,53.32647327,18.55707158,0,18.42900141,0,7.81264209,0.72517348,1.39413336,22.87892587,51.2162386,8.3270275,6.44574914,12.15872526,23.10119385,28.9084216,33.1125032,12.94123496,16.79024296,33.75995607,54.89822436,7.16903728,34.79634908,29.04047393,11.2633998,28.44587495,17.85057558,0,35.43906836,44.3212539,11.81604541,0,66.99868151,33.41204153,23.41873042,18.58329415,12.3172376,13.48040834,0,27.75021139,14.23284875,12.60564004,0,29.44417752,30.03671127,12.48222093,56.2678479,15.98999462,39.76714112,4.74147511,24.83526355,20.43816213,27.19915567,11.6363959,0,13.60204148,13.37298188,43.12892468,70.85245886,72.05811977,33.15887963,59.6269302,24.5771332,54.04623517,15.45272539,37.11929556,29.35593549,60.50253975,34.93445603,1.31182266,9.54331348,19.37331945,32.15159099,54.85933385,76.6980657,11.3992645,47.89419563,0,41.33557545,22.91176668,44.79100841,15.03244151,50.87250246,18.36502705,16.4782359,70.30431234,57.14797123,52.85385347,0,56.19630315,5.48341787,36.8628251,15.46388969,0,0,0,26.24795762,50.31373409,4.15679433,43.5928998,8.90812888,36.22624532,7.34333116,16.53573644,19.97511246,0,54.23354814,42.78296545,60.14286298,50.97166526,17.40907977,24.58323368,27.51488588
"010",17.79515356,25.37697582,0,14.24406354,32.99081736,22.58659258,30.24321343,22.5934497,34.84569395,7.1166892,8.88376794,20.5166616,19.12814248,10.09923229,25.24644612,48.10883324,12.81300929,47.67342057,35.37862479,0,0,6.65324358,0,0,16.50062647,0,26.83626843,17.79397915,0,37.61188685,0,18.24037654,48.61834817,87.37800681,0.66613219,14.5630761,28.697656,55.2408622,0,10.51631152,13.95796203,36.47113418,20.51207762,18.68035944,0,0,0,0,53.17482106,0,0,36.32168203,30.41398316,36.67215424,49.16107625,35.33314994,14.54496683,0.04928804,3.8796563,8.12275043,16.87706804,40.76993057,20.08670018,30.76410951,13.31165465,0,8.45226716,7.5329775,0,27.07733726,50.68942368,21.93134703,12.3956118,7.67221401,0,23.94943374,0.21876049,4.20514115,27.39186344,51.56441197,18.1097757,20.1310916,0,11.0037816,12.43906712,19.50179401,9.56508276,9.08637114,26.68479998,45.07588269,0,29.80906857,18.64428911,21.97078443,15.61143682,16.96424407,4.06419709,22.17311553,36.29570086,15.46235451,0,75.46454021,29.82495687,17.77752544,14.61096271,15.23486042,0,7.20044547,7.81530072,9.11123463,6.21673373,0,19.9019634,20.28945164,7.24967316,33.11437261,11.91866421,30.51438611,10.89851985,5.56805463,31.15381363,2.52502192,11.65669365,0,6.87639598,11.00856468,31.07966709,55.68002059,53.1980345,23.66336738,47.30084307,28.89425256,38.82697366,10.86767921,33.26808172,15.49564536,45.17515196,28.95809476,1.61246277,3.36829652,7.11481954,7.56893614,38.48907454,68.30649875,0,23.74244276,0,31.66598084,13.61591997,39.98359588,18.17053094,49.40599305,16.38209136,33.79802382,59.33184682,52.74514433,43.82575562,37.45294458,50.64590081,5.40770486,35.24910611,8.23100844,0,0,3.12959551,20.76726591,47.19312579,1.71219037,27.46329642,0,40.20132411,0,22.97377104,15.51256286,13.57881772,37.16460664,35.35541356,54.03895657,35.67724761,9.79029461,11.01482516,38.26754542
"011",13.15112001,16.21066561,13.53358192,0,25.42263014,14.74296794,24.48089153,14.97167527,34.89043918,15.92222682,15.88810941,14.22680933,21.03884861,8.94442435,32.47215155,34.90409922,0,22.36202994,29.81341274,4.93226934,0,7.57343598,0,0.37051347,16.76130102,0,0,10.60217781,38.62253865,38.42036413,7.18290639,15.78763204,39.50827713,87.2724027,8.12043912,19.71536343,20.82586314,41.61540032,0,23.8844322,13.66817945,36.64851595,16.61877289,21.82207415,0,4.19634091,0,26.70220589,49.19349745,2.13599824,3.78748261,28.22222727,37.54882107,36.34906341,57.55087683,32.98448821,4.98804755,0,1.89934322,7.1907661,21.84647477,40.47707569,25.67459453,12.18549216,0,10.3919393,3.43470562,17.40994423,11.14480234,13.14178029,38.83702098,16.64555252,12.04950254,11.98364488,9.96943305,16.08324741,0.86042586,0.22259559,25.62207556,53.05342362,0,9.83832347,6.5009897,15.73653682,11.11255249,19.88343018,7.52089688,19.33392706,28.29614088,49.09854803,12.67072905,18.80909555,32.61816786,11.47836812,22.83294579,20.90595357,6.57405645,27.56249241,30.65855343,11.35246178,11.28035626,72.81854064,27.30178354,14.87530442,20.35695469,26.10485205,8.39447989,0,17.16410864,14.79835476,7.16589884,0,20.78768638,12.77335843,11.42260203,36.67734951,18.76740956,29.05426007,14.39102403,0,36.30007653,2.43492614,19.75344473,0.00369259,12.47223716,23.41595322,20.23127969,54.7211444,66.14959064,22.12411658,40.9721438,21.85978084,42.49533831,11.20670046,37.45731381,25.54211209,38.90237708,30.8730598,4.33248722,6.83844684,11.74931325,18.96367608,38.21054511,63.77373215,0.41026438,30.64044917,0,24.9187877,5.24488089,37.85901601,28.0947816,45.43509519,11.88429975,26.79758943,62.34639626,38.32735484,31.34431381,38.25535513,28.33502579,9.90100099,29.74150306,4.39943352,1.65240092,0,2.57175338,23.38336425,53.21815484,3.58164982,36.91306604,1.05656894,27.38573631,1.03783656,17.02558869,17.11471851,0,28.97115413,25.97344498,42.74146995,11.67079555,13.30908217,0,34.837101
