"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"001",0.275601363913822,-0.427805645390999,2.9685716094997,-0.0156117635767398,3.22773505538781,1.89514212822861,0.98921591910515,-0.64498347885962,-0.303223124941196,-0.524660377144027,0.0818428329822516,-0.331860102585397,-0.532714074547015,-0.727813020718931,-0.204546417810039,-0.532663796986028,-0.235941587144282,-0.586806214677085,-0.549818793005497,-0.00472369142998457,0.726165851328346,-0.639882854809065,-0.671132800343395,-0.379532887826862,-0.727813020718931,-0.397443036498625,-0.655262388631552,-0.334697717415573,-0.143296068920782,0.0521519783708231,-0.644193874834905
"002",0.665624254628372,-0.409125065943502,2.17810171392425,-0.425273260309057,1.95127854138712,1.90290972014986,2.34026390329322,-0.758651656481022,0.492846903946952,-0.998664546540313,-0.609284860563486,-0.0411675128334654,-0.521067135233076,-0.602240851146633,-0.227572947242553,-0.737378059100979,0.325207901439386,-0.429309095352736,-0.626844800414095,0.949469781518009,-0.080605536194219,-0.998664546540313,-0.837551368253787,-0.194131279838989,-0.966879789491846,-0.562958663533982,-0.998664546540313,0.301626211162607,-0.56456403325161,1.25100789693851,-0.767737273582312
"003",0.641349039000345,-0.295083683849296,2.55464971260964,0.0795417228030174,1.88984416518906,2.08665428147208,1.93861057078721,-0.834938862009458,-0.127866799234846,-1.02007153697858,-0.50629870913154,-0.170928636058505,-0.208053481087317,-0.251595695562141,-0.258823442760121,-0.575967161659779,0.522145778281432,-0.711933612317488,-0.693182280613996,1.02442569234506,0.000507566224558235,-1.02007153697858,-0.916873741697666,-0.0923742245423395,-1.02007153697858,-0.66725609818439,-1.02007153697858,0.231502006693363,-0.569349535696021,0.900505315929244,-0.908923739015785
"004",0.658945661955515,-0.472446473500579,2.56548743144293,-0.297699691460303,1.82232396089871,1.98394319301468,2.33600490313855,-0.696739406856545,0.10099044592901,-0.936811652206066,-0.586349306875512,-0.156840187387249,-0.684775806116029,-0.710659906513504,-0.279385041716385,-0.786476480511882,0.477851797136039,-0.164373072890349,-0.543739873934053,0.411161618584284,-0.109286714341833,-0.932105350596784,-0.771976190199805,-0.273872022959484,-0.890206114457492,-0.520738477688905,-0.936811652206066,0.287141175240042,-0.553160615101992,1.25942143452751,-0.598817584346449
"006",0.129903916263775,-0.513682090520178,2.41803640532577,-0.330453143506742,2.71374473861079,1.65772756277218,2.30804606696181,-0.638018794451547,-0.129429012104253,-0.650011532746405,-0.289391936709235,-0.371561491476563,-0.655586216271642,-0.808069348560016,-0.237481238593482,-0.642346465906147,-0.393230725025526,-0.350839342591196,-0.536444623067968,0.87138814839115,0.469746319250389,-0.70756749636897,-0.710684633588789,-0.2751400126199,-0.77702624255804,-0.485225771335909,-0.739584507773265,-0.335882838436862,-0.353489539177563,1.01407391994672,-0.651520074132392
"007",0.327112361805987,-0.46637329946741,2.36333922531023,-0.290922117636309,1.26872844676848,1.46591919638667,1.89841513186749,-0.676357225427341,-0.0542100041323643,-0.733994860601035,-0.689494325569943,0.0588643973294568,-0.622504816905566,-0.687450921512997,0.545538203679304,-0.74536065382395,-0.168903100437542,-0.511852129104812,-0.558135820824914,2.71598502531066,0.731929249057696,-0.917174126366839,-0.793598063225485,-0.417835051906164,-0.917174126366839,-0.610595027001528,-0.917174126366839,-0.2834565047106,-0.391258988129573,0.746098727653523,-0.668104675651454
"008",0.837969176719047,-0.458733396734127,2.10516881384775,-0.482997665981522,3.49880059072394,2.12781887425739,1.35703522080484,-0.634678080426332,0.0599757853266994,-0.608303562262153,-0.63118605494623,-0.527668015103606,-0.67223298369131,-0.47252325659302,-0.251785237340981,-0.540143510558649,-0.211482983320115,-0.48607171834556,-0.58148655336863,0.274934119527877,0.462471931212052,-0.575679653016857,-0.592282204996349,-0.466159910695194,-0.666586771536254,-0.40478190882348,-0.430804442116802,-0.123088685672109,-0.569173943091848,0.238311303732708,-0.574635277531173
"009",0.768135511933227,-0.535780999013712,2.52803638188978,-0.230256793372005,1.86137435444704,2.02009122378571,2.0717096308945,-0.77743446358658,-0.166507656648411,-1.00975682812509,-0.605275621173359,-0.081494658179152,-0.260679816994555,-0.506586369502903,-0.0977438340088214,-0.916751176688813,0.612497620535151,-0.400885907662869,-0.707288217121645,1.04597990497495,-0.0476598320325539,-0.979115052181673,-0.79465546244316,-0.0808622879335097,-0.989102732217415,-0.586390203602298,-1.00975682812509,0.245017695317949,-0.491963189233791,0.855774328630073,-0.732668722560969
"010",0.571323120210533,-0.646206729541167,1.95115428324782,-0.0340523386224477,1.55026759619444,1.5624570829519,1.89422542796643,-0.848632054046769,-0.0847453225470415,NA,-0.684098478609886,-0.278392635990827,-0.0609709658600307,-0.559150252837492,-0.484335705029787,-0.840721511774065,0.125351085846603,-0.33911862071496,-0.575103183393437,2.44435545687665,-0.171041724386812,-0.95142363712444,-0.900169162106786,-0.0917284133328414,-1.03383853763553,-0.490369829215566,-1.12496158525765,0.0132442850342185,-0.523453688150801,1.36805744630755,-0.7579214084578
"011",0.522643444215077,-0.612685461045166,2.41927140147669,0.105797482758259,1.74269168005884,1.95067968580237,1.88767842007847,-0.815583123556215,0.0523616289462206,NA,-0.527234951645865,-0.255049644390776,-0.46629070606793,-0.672943935843479,-0.453466430436447,-0.792281317429475,0.0232526357076803,-0.505521441538723,-0.406107858208048,1.42675495652844,-0.056435266197128,-0.956367054300725,-0.869549360107084,-0.451611981815463,-1.03264160808597,-0.451772993286369,-1.08719460332716,0.0773477778359543,-0.393727906045148,1.40366402189905,-0.80567749197988
