"","AKT (pS473)","AKT(pT308)","Bcl-2","Bcl-2 (pS70)","Bcl-xL","Bim","Btk (pY223)/Itk (pY180)","Btk (pY551) & p-Itk (pY511)","IgG Kappa (isotype control)","Mcl-1","MEK1 (pS218)/MEK2 (pS222)","MEK1 (pS298)","mTOR (pS2448)","NF-κB p65 (pS529)","p38 MAPK (pT180/182)","p44/42 MAPK (pT202/Y204)","p53(pS37)","p90RSK (pS380)","PLC-γ2 (pY759)","Rb (pS807/S811)","S6-ribosomal protein (pS235/236)","SAPK/JNK (pT183/Y185)","STAT1 (pS727)","STAT1 (pY701)","STAT3 (pS727)","STAT3 (pY705)","STAT5 (pY694)","STAT6 (pY641)","SYK (pY525/526)","TBK1 (pS172)","Tyrosine (pY100)","ZAP70/Syk (pY319/Y352)"
"001",2441.8779899917,1530.15154229441,14617.1446146559,2012.26671246411,17364.0908427299,7162.94759375506,3923.36916575678,1324.52806847499,1253.59767785022,1662.2124276081,1434.77586181022,2146.88625242451,1630.88167504262,1427.11812522496,1241.34233537727,1774.85424743823,1427.16580387859,1738.21167220724,1376.73383998932,1410.98967081096,2026.87808883003,3294.18561125512,1329.02486527773,1301.71222297992,1580.02885693559,1251.55295713395,1561.33645468366,1315.51218016763,1627.80947757067,1848.58041641028,2104.94539723568,1325.22320012294
"002",1235.70780159339,390.708096114413,6246.64678856362,384.006803091752,4899.02681892849,4651.62387734813,7431.87470047247,268.672596918296,207.753944968033,1026.89324621865,198.119478729982,315.29807104359,579.504850262522,346.55134324034,317.686512295462,474.597731997808,274.866385793759,858.075686300216,382.350013646056,309.421836460848,1674.88308081946,555.529600285915,207.189208334743,246.895185127494,491.909853895777,214.950376265336,331.34173329606,193.909941816393,836.668501963742,330.772341319178,2313.58402052813,266.070045115892
"003",992.554574382309,335.508871743002,9103.22246048713,517.786210548768,4214.8333814213,5293.9653737372,4459.75705018912,179.532301666136,144.882514476526,407.210077258443,127.048163772857,262.698306791253,387.397912318537,371.092774747942,352.841463688556,349.899939423067,242.332801104393,864.55376706377,207.022470701958,211.567961878852,1546.86376833642,472.491731234417,140.518364391337,163.277819032923,424.299206186389,144.668279611026,218.017550905055,132.518078943114,617.433964155456,244.197404086291,1340.03717217545,164.788253901572
"004",1129.89834238621,305.427026012375,10242.7120022798,373.815303633215,4337.43746352911,5228.66481102731,7855.6048783509,235.655783814756,178.535718251049,592.734913589642,168.809214725705,267.738495497766,439.936599615073,238.938240244443,231.893130371928,381.815744165677,212.430252978644,916.436866103098,436.121435566274,281.259546026244,848.425828190524,464.803308672184,179.509897250272,216.021874346185,384.257374667838,188.420531151459,288.840102619344,170.067135238284,735.083455997239,278.212486922335,2262.40346495788,263.906347604593
"006",3873.76842775382,2425.11329757684,20477.8637291726,2771.02521884205,25394.6102139607,11775.8821739967,18902.6564203912,2215.31832168723,1957.45888430083,3207.54670106321,2196.06860842696,2855.0757438836,2689.35679440133,2187.17764130404,1956.9615315807,2964.99325159969,2208.35253385876,2647.28066674897,2730.2193377027,2385.27285969688,6644.70100263694,4960.65328927661,2105.98695013765,2101.21514586974,2884.84093726346,2002.1824123874,2475.85660277343,2057.48598256955,2760.09769691977,2724.95891777308,7371.74753743483,2193.65910093838
"007",687.844206860517,278.672661344436,6989.53115561618,340.297490653442,2009.73817440375,2515.6750759203,4116.54706765124,219.408172090466,166.787563518004,445.572086342697,205.470628585434,216.150488234327,506.798940621819,233.283473463874,216.65400819258,882.076716934144,202.828566112945,391.020722590978,264.608692085428,251.024335169487,10443.329356076,1090.63828275934,164.029859821509,191.988265232385,294.508322570533,166.239196093671,236.468676278642,158.793967983324,343.202665947738,303.556828678354,1108.37787936294,221.479667366209
"008",2449.6464822832,999.642450252007,5881.73719561792,983.016414608859,15412.0935021786,5974.54676569619,3506.89273040368,885.171946685255,846.34415893656,1430.72653237265,901.457051560701,887.311105158209,953.127770374734,862.489843215882,990.159356150596,1153.37015751369,944.944037885504,1185.95194831913,980.929885819653,918.322596557475,1659.91265159905,1889.6546435214,922.015986792044,911.495462501972,994.52411000903,865.862503510633,1037.62506285306,1019.12796120605,1260.67251557203,926.171490377672,1618.42056170685,922.681820161176
"009",1292.75526070587,293.628853158876,9557.49953546917,415.556364201774,4479.46898613764,5365.15024104987,5689.37901476103,223.099825877812,171.31930813058,446.788118853934,165.014741764557,271.325504651521,492.119799167466,401.430806237228,303.536928658215,483.113244689273,190.423852706161,1083.13100981003,342.289633207506,241.617860670673,1772.89310556674,511.416124930712,177.391802110716,218.774937042821,492.473682123448,175.389191941729,277.213243048653,160.421757742823,713.285634148419,308.624719308455,1428.17639344928,234.746532097277
"010",1188.53767971761,220.345251647652,8025.80258563621,514.157148459527,4607.85009661363,4686.25550774599,7417.64600686126,166.50112686054,103.173122225109,479.316255467519,NA,209.086188274244,366.616896518136,495.352022257965,248.563334883194,275.683828344063,168.33427092568,641.091610138885,337.060212645256,243.134774374805,15884.4722191239,425.349278402438,144.419142096885,155.037236129769,474.705565379744,128.849174280116,273.390815832,113.580474606723,548.943821482206,261.153468692608,3580.66778588672,188.776193753055
"011",946.479572563868,207.465073074715,11947.6886737736,542.116438691369,4835.76418365084,6385.8969249851,5870.07548906149,158.177108035326,99.2562781726818,504.740308377528,NA,232.571840257126,334.646702256448,252.313827517535,191.407621225472,256.676885927138,163.182109273056,485.475651982389,239.42190612465,273.453137393279,3169.81445638266,436.416396125962,131.040393623703,147.167226586961,257.314017281227,118.337003146915,257.258636066139,110.013852204976,521.885007845526,278.016549187189,3073.45855581593,160.285704690096
"012",1020.25020292025,185.731120573515,7816.29770582791,407.330580173182,4789.44470923873,5253.22359602571,5413.50219194269,133.062610636501,59.3270819050907,437.48919862018,NA,158.630304675964,287.923922631117,206.851825701232,185.875761808348,263.329363627399,127.231456713927,409.079871931517,207.304977091422,191.637351026758,1025.86868576786,448.677045398635,92.635943664194,98.9623864961221,329.065702312429,83.835072084671,242.691422203226,72.2446214558596,542.07429016257,252.288437607641,2069.95526819971,132.991859853883
"014",787.313291578368,210.164962258358,7457.83539391027,329.821280168558,3923.23039470912,5840.64091918181,5850.42199578502,147.263485234945,87.6605181173279,432.37266385481,NA,163.042747812923,318.642800592876,218.425747235232,149.152759503604,223.049256597796,141.47960845439,431.924013884921,277.804538354596,227.004487601689,1424.25130871583,345.523545537948,111.895049831521,117.907599589075,227.671085627874,105.793342076317,229.84347186842,94.7021172881497,468.569776142586,230.544126890806,2715.38240944646,145.651815634175
"015",1223.02257028322,635.836421787138,5156.7213999979,631.087190320598,5465.52869231843,3356.77996991352,5424.26106068471,542.417889280003,500.771030380238,933.968784165646,527.102820418629,613.257444474431,690.196679379813,588.08961172179,554.287065039741,870.014262819285,540.278669591357,723.172757516763,714.875919419494,614.079210486247,2783.35950653978,737.606337766121,491.412151963757,543.92680557521,682.557851610238,510.392712158871,623.341988877746,483.178856543451,972.993114845052,576.511736755906,2244.83916557717,557.740886887807
"016",1379.24879571842,727.816991166933,6987.17603720725,830.817536118651,6219.68028909354,4392.63387750987,5863.8257360359,680.01261375715,648.617303135055,1140.86302615334,658.076754564453,737.484514326397,864.345367745162,702.34551907767,706.436711730274,1032.8512225118,686.362392001382,909.846180807233,846.457640899149,755.548691838671,1999.67614260585,901.700230394482,618.991772531361,672.534978907673,881.239162384315,650.64946249938,784.727744794786,616.952259483354,1160.77707193378,713.711475594107,2433.74056183642,723.611673301185
"018",1504.54233635505,776.038553451593,6719.24745760236,771.438045654491,6593.19127197243,4313.15231209838,9301.5809030629,728.20900893827,712.968037531878,1030.4063064251,678.988429573796,807.862656141963,901.06129075434,736.123038425358,745.410284522485,1085.58680556599,709.77913432113,967.759978469508,1185.46722357596,851.622503779624,2324.65067914373,939.919157557774,651.19041513296,700.317578177982,856.188119562447,692.15745493621,841.00015907528,645.00097649044,1267.11137688072,738.188604574015,3345.07023398513,813.627927885383
"019",3435.21554102931,2064.83030680593,9764.20919205574,2182.03560582967,18002.4883327639,9763.45331758495,6166.16155058537,2073.17296624367,1883.92050001558,2664.54819785535,1985.15774224709,2111.28660503327,2380.34229025986,2051.71158136188,2120.11635839447,2562.61888036304,1912.23357758906,2234.78122141904,2198.05829881258,2173.30277932219,6059.83379364612,3093.13763140421,2057.02497792853,2018.27327652353,2241.99727309425,2047.73370178926,2080.3126761656,2086.60021821434,2481.09596427795,2077.96432427672,5035.91578274954,2114.34225460616
"020",3252.61222281451,1820.13829357566,7833.16006661431,1929.49940461625,14956.1641481165,8961.81771569386,6062.61487833086,1811.66525750423,1643.58632438968,2421.00710234259,1739.13175712928,1857.28621771343,2082.06119855422,1800.15341124441,1854.61111088436,2138.03125257503,1663.90936958761,2020.41312007223,2018.75299534538,1868.3779280832,5093.9108106624,2777.51761727577,1811.62616546813,1762.42854768208,2044.38113924607,1794.56364390564,1829.32040708585,1823.63748428008,2241.83553224236,1808.15562005892,4693.6747614368,1903.26152862518
"021",3958.52661328239,2474.92745432767,10074.9556769324,2468.88129086614,20519.8884355666,10968.8120324637,4188.92021203317,2276.09910388767,2091.61878563231,2824.72872471337,2214.43537519361,2521.8669014347,2666.85982121563,2310.83330980478,2469.90348070361,2892.10410732602,2318.41569371857,2657.52086067067,2315.35973853427,2352.5389500617,5628.96984076766,3684.35967431845,2275.48648665112,2232.24799362409,2494.06607312369,2281.44324027309,2296.45524025581,2323.25703127169,2639.86170093237,2291.9623349306,3552.54372316033,2287.73925771563
"022",1428.43505563405,733.674129573302,9019.53139150302,881.848397971409,5964.68158453206,4584.10079402639,6251.01225443425,661.931757319369,641.485171217865,1011.9253512103,640.647241214899,703.450071404514,844.361403384492,766.737812214775,710.144045850268,1055.10706283043,651.5798342944,960.61722775575,926.66607050852,749.734946355657,2821.7010273293,888.470672842991,606.735917787362,682.005687907596,867.449730034608,633.359827453223,758.178799032559,598.301844753537,1118.52430874304,689.755895137651,2232.3102809188,704.378555858913
"025",1009.00094630412,531.315961496452,5077.80223990559,397.683629888079,3700.24152779489,3545.25750829357,7338.78432940127,381.507379301586,279.690305947245,832.917638629135,399.131613656055,470.708243897761,633.738488545092,517.818719484932,405.478764609624,483.564928954835,412.905736749996,492.905979448703,626.284671858339,400.785889743893,1179.59807406062,549.779513206468,288.543647905536,319.657776097168,1031.92814483813,277.638917160064,436.148743722809,266.09159678397,711.99539695622,546.591434789218,2184.18930351697,381.025410814904
"026",7979.7144179767,3901.43913779083,17037.9174457605,3722.35555678821,24886.1154859574,18349.0537434234,12943.1861240726,2805.24303061594,2833.19219731226,3728.39053040656,3034.72254700916,2968.03825100779,3293.79095120352,2868.35591677143,2923.64102186659,NA,3062.48308194106,6803.14389151641,3450.94905495661,3222.40853449245,32521.459100664,8432.37227818757,3297.20328445791,3344.46313322402,3255.53619500583,2897.92703019719,4309.09813401059,2988.65497784519,4921.86038631181,3100.94152075348,8498.66125605324,3152.14909802074
"027",2150.13348145893,1040.36819006239,8476.53592725668,1072.41404897848,4796.2441856757,5249.3349810153,9884.09258880942,1032.736119458,940.009443579361,1307.60885547657,977.325900140393,1024.82506352531,1246.7703454547,1084.64463457749,991.915823511947,1257.48313252301,949.649644286282,1202.96609807159,1225.69730801936,1058.36528400372,3297.04991803765,1198.15996391759,919.34103066647,938.525594373725,1291.92463753742,964.149068306641,1040.12547872252,914.889064508303,1389.03473705255,1163.47601291349,3262.077778215,1045.1997200708
"028",5037.83163381319,3006.66116661399,16013.4052570084,3358.70088360826,15912.7082361655,14169.3422321431,9977.01170715919,2551.9601493314,2571.70928362764,3101.9890809682,2742.59959346357,2753.63549305811,3108.68347844218,2673.23313080952,2650.45336641263,NA,2813.68878064801,5056.92232975759,2838.75289086041,2790.57518139588,31601.5963455517,7535.68277997394,2995.15018328389,3015.18795362766,2901.31364552899,2591.08531568684,3823.90823099268,2704.52871021221,3840.03753804892,2853.55960902128,6526.39144908122,2582.42151303543
"029",8943.11985912328,3844.5799316251,18316.9356501858,3805.87865787131,23162.9120805631,19208.5253561754,14841.6338040854,2639.70197339832,2667.54562179185,3728.60018337137,2929.72701375266,2778.79930175896,3071.10834096375,2817.25829682883,2754.04810782131,NA,2962.09429393526,6485.06761068129,3360.75247262413,2869.0948401174,12420.9738882984,8205.59462928184,3215.49198280611,3205.55262127752,3038.92865167243,2702.34781726751,4139.73439143279,2901.97669553495,4483.32597236735,2989.76259286959,8924.98078362716,2839.4187352495
"030",2762.68638914713,1538.75763839423,13627.8708556571,1727.42722060219,7907.93722282851,8967.93270532638,13367.3275540663,1466.50037252637,1396.81814497864,1950.01224994864,1428.08345603589,1563.3704684755,1954.66245240338,1481.85323241584,1473.10068943439,2763.68501173046,1448.28060335245,1817.15448198504,2035.68809175591,1865.96971018224,6304.21083190757,1836.75939804476,1404.36333323689,1509.56977751668,1794.59882172524,1434.4413815243,1625.30257627132,1349.80578639822,2255.28806596772,1562.0774033613,5715.14070578619,1609.66335781919
